GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
need-api,com.need.api.needapi,NeedApiApplication,8,0,0,0,3,0,2,0,2,0
need-api,com.need.api.needapi,WebConfig,35,0,0,0,4,0,2,0,2,0
need-api,com.need.api.needapi.model,Need,0,87,0,0,0,18,0,12,0,12
need-api,com.need.api.needapi.model,User,0,123,0,12,0,28,0,17,0,11
need-api,com.need.api.needapi.model,FundingBasket,12,75,0,0,3,15,3,9,3,9
need-api,com.need.api.needapi.controller,FundingBasketController,0,186,0,6,0,46,0,11,0,8
need-api,com.need.api.needapi.controller,UserController,10,239,3,13,2,57,3,13,0,8
need-api,com.need.api.needapi.controller,NeedController,0,186,0,6,0,46,0,11,0,8
need-api,com.need.api.needapi.controller,CheckoutController,2,80,1,9,1,16,1,6,0,2
need-api,com.need.api.needapi.persistence,InventoryFileDAO,5,0,0,0,2,0,1,0,1,0
need-api,com.need.api.needapi.persistence,NeedFileDAO,4,314,2,18,1,61,2,22,0,14
need-api,com.need.api.needapi.persistence,UserFileDAO,0,267,0,16,0,54,0,21,0,13
need-api,com.need.api.needapi.persistence,FundingBasketFileDAO,0,271,1,15,0,54,1,20,0,13
